brand,model,make year,reg year,km driven,price,transmission,fuel type,engine capacity(CC),ownership,reg number,has insurance,spare key,title,overall cost
Maruti,Wagon R,2015,2015,131468,125000,Manual,Diesel,1000,Second Owner,PB05C3441,Yes,No,Maruti Wagon R 2015,6250
Hyundai,Elantra,2016,2016,118376,155000,Automatic,Petrol,1500,Third Owner,MH09C2667,Yes,No,Hyundai Elantra 2016,7750
Maruti,Baleno,2017,2017,113511,120000,Manual,Petrol,1000,Second Owner,RJ11A6491,No,Yes,Maruti Baleno 2017,6000
Tata,Tiago,2011,2011,237105,75000,Manual,Petrol,1400,First Owner,GJ17D5766,Yes,Yes,Tata Tiago 2011,3750
Hyundai,Verna,2023,2023,37829,460000,Automatic,Petrol,1400,First Owner,KA09C8396,No,Yes,Hyundai Verna 2023,23000
Ford,Endeavour,2012,2012,110763,125000,Automatic,Petrol,1600,Third Owner,UP17A5067,Yes,Yes,Ford Endeavour 2012,6250
Hyundai,Santro,2018,2018,103608,255000,Automatic,Petrol,1200,First Owner,DL12C1719,No,No,Hyundai Santro 2018,12750
Kia,Sonet,2022,2022,46615,860000,Automatic,Electric,2500,First Owner,TN14A2075,No,Yes,Kia Sonet 2022,43000
Mahindra,Bolero,2022,2022,27347,700000,Automatic,Petrol,2500,First Owner,UP02B5675,Yes,Yes,Mahindra Bolero 2022,35000
Ford,EcoSport,2011,2011,174807,95000,Manual,Petrol,1400,Second Owner,HR12B1767,No,Yes,Ford EcoSport 2011,4750
Ford,Aspire,2022,2022,35485,400000,Manual,Diesel,1600,First Owner,HR12A8129,Yes,No,Ford Aspire 2022,20000
Mahindra,Bolero,2020,2020,16419,415000,Manual,Diesel,1800,First Owner,UP19D5376,Yes,Yes,Mahindra Bolero 2020,20750
Honda,Accord,2020,2020,59569,335000,Manual,Petrol,1400,Second Owner,WB09A9146,No,Yes,Honda Accord 2020,16750
Ford,Figo,2021,2021,25314,405000,Automatic,Petrol,1200,First Owner,WB01C6984,Yes,Yes,Ford Figo 2021,20250
Ford,EcoSport,2019,2019,45602,345000,Automatic,Diesel,1400,First Owner,RJ18C6544,Yes,Yes,Ford EcoSport 2019,17250
Kia,Sonet,2023,2023,26268,870000,Automatic,Diesel,2200,First Owner,GJ08B1600,Yes,Yes,Kia Sonet 2023,43500
Volkswagen,Tiguan,2013,2013,177695,180000,Automatic,Petrol,2200,Second Owner,HR06C9895,Yes,Yes,Volkswagen Tiguan 2013,9000
Tata,Safari,2014,2014,152501,120000,Manual,CNG,1600,First Owner,MH05A4170,Yes,No,Tata Safari 2014,6000
Honda,CR-V,2021,2021,33848,410000,Manual,Petrol,1600,First Owner,TS19D8961,No,No,Honda CR-V 2021,20500
Maruti,Vitara Brezza,2012,2012,198332,80000,Manual,Diesel,1000,Second Owner,HR06C4071,Yes,Yes,Maruti Vitara Brezza 2012,4000
Renault,Duster,2013,2013,170259,90000,Manual,Diesel,1000,Third Owner,UP11A9802,Yes,Yes,Renault Duster 2013,4500
Ford,Freestyle,2012,2012,194145,90000,Manual,Petrol,1500,Third Owner,AP06D4457,No,Yes,Ford Freestyle 2012,4500
Honda,City,2010,2010,187489,95000,Manual,Petrol,1600,Second Owner,AP02B5792,No,No,Honda City 2010,4750
Toyota,Corolla,2010,2010,182888,115000,Manual,Petrol,2500,Second Owner,HR07A1727,Yes,Yes,Toyota Corolla 2010,5750
Ford,Figo,2022,2022,30350,420000,Manual,Diesel,1200,First Owner,DL18C4161,Yes,Yes,Ford Figo 2022,21000
Kia,Sonet,2022,2022,32476,555000,Manual,Petrol,1800,First Owner,PB17B5700,Yes,No,Kia Sonet 2022,27750
Hyundai,Elantra,2023,2023,27690,445000,Manual,Electric,1400,First Owner,KA06C8799,Yes,Yes,Hyundai Elantra 2023,22250
Kia,Seltos,2020,2020,39706,395000,Manual,Petrol,1800,Second Owner,KA16D3850,Yes,No,Kia Seltos 2020,19750
Maruti,Swift,2015,2015,182014,115000,Manual,Diesel,1000,Second Owner,TN06C8734,Yes,Yes,Maruti Swift 2015,5750
Kia,Seltos,2023,2023,19060,760000,Automatic,Petrol,2200,Second Owner,HR17B4513,Yes,No,Kia Seltos 2023,38000
Volkswagen,Tiguan,2013,2013,63686,185000,Manual,Petrol,2000,First Owner,TS10B6021,Yes,Yes,Volkswagen Tiguan 2013,9250
Maruti,Ertiga,2013,2013,118061,75000,Manual,Petrol,1200,Third Owner,MH11B4435,Yes,Yes,Maruti Ertiga 2013,3750
Hyundai,Santro,2016,2016,117929,160000,Manual,Petrol,1600,Third Owner,AP18C1561,Yes,Yes,Hyundai Santro 2016,8000
Honda,Civic,2016,2016,85698,200000,Manual,CNG,1400,First Owner,GJ13A9712,Yes,Yes,Honda Civic 2016,10000
Hyundai,i20,2017,2017,79658,185000,Manual,CNG,1500,First Owner,WB04D6356,Yes,No,Hyundai i20 2017,9250
Ford,Endeavour,2023,2023,23388,415000,Manual,Petrol,1400,First Owner,TS02D2070,Yes,No,Ford Endeavour 2023,20750
Hyundai,Verna,2021,2021,43699,315000,Manual,Petrol,1400,Second Owner,HR18B3513,No,No,Hyundai Verna 2021,15750
Toyota,Urban Cruiser,2020,2020,54323,480000,Manual,Petrol,2200,Second Owner,RJ07B3523,Yes,Yes,Toyota Urban Cruiser 2020,24000
Kia,Sonet,2021,2021,60008,615000,Manual,Diesel,2500,First Owner,HR19D7523,Yes,No,Kia Sonet 2021,30750
Ford,Figo,2019,2019,80885,225000,Manual,Petrol,1500,Second Owner,TN14D4110,Yes,Yes,Ford Figo 2019,11250
Tata,Harrier,2012,2012,241404,80000,Automatic,CNG,1500,Second Owner,TS03A9296,Yes,No,Tata Harrier 2012,4000
Mahindra,Thar,2020,2020,72653,550000,Automatic,Diesel,2000,First Owner,HR02D1711,Yes,Yes,Mahindra Thar 2020,27500
Renault,Lodgy,2012,2012,118125,85000,Manual,Petrol,800,First Owner,RJ10B5232,Yes,Yes,Renault Lodgy 2012,4250
Toyota,Corolla,2013,2013,97484,200000,Manual,Diesel,2000,Second Owner,PB16D9998,Yes,No,Toyota Corolla 2013,10000
Mahindra,Bolero,2020,2020,83318,450000,Manual,Diesel,1800,First Owner,UP01D8280,No,Yes,Mahindra Bolero 2020,22500
Kia,Sonet,2017,2017,73161,290000,Manual,Petrol,2500,First Owner,DL09C6002,Yes,Yes,Kia Sonet 2017,14500
Mahindra,XUV300,2016,2016,76288,260000,Manual,Petrol,2500,Second Owner,WB03A6534,Yes,No,Mahindra XUV300 2016,13000
Ford,Freestyle,2020,2020,43162,375000,Manual,Diesel,1600,First Owner,GJ07B5335,Yes,No,Ford Freestyle 2020,18750
Ford,Endeavour,2018,2018,38317,230000,Manual,Petrol,1200,Second Owner,RJ15A2736,Yes,No,Ford Endeavour 2018,11500
Volkswagen,Polo,2016,2016,137008,260000,Manual,Petrol,2500,First Owner,PB19C5070,No,Yes,Volkswagen Polo 2016,13000
Ford,Freestyle,2016,2016,78352,255000,Automatic,Diesel,1200,First Owner,WB16B6501,No,Yes,Ford Freestyle 2016,12750
Maruti,Wagon R,2023,2023,25376,355000,Automatic,Diesel,800,First Owner,TS09D4883,Yes,Yes,Maruti Wagon R 2023,17750
Ford,Figo,2021,2021,64152,450000,Manual,Electric,1500,First Owner,KA02B9183,Yes,Yes,Ford Figo 2021,22500
Renault,Kwid,2023,2023,39962,330000,Manual,Diesel,1200,First Owner,TS05C4385,Yes,Yes,Renault Kwid 2023,16500
Renault,Triber,2013,2013,146028,100000,Automatic,Diesel,1000,Second Owner,PB12B1966,Yes,Yes,Renault Triber 2013,5000
Renault,Kwid,2022,2022,29490,320000,Automatic,Diesel,1000,First Owner,PB10C5607,Yes,Yes,Renault Kwid 2022,16000
Maruti,Baleno,2016,2016,90970,145000,Automatic,Diesel,1000,Third Owner,AP17D5647,Yes,Yes,Maruti Baleno 2016,7250
Honda,Accord,2015,2015,104151,155000,Manual,Petrol,1600,Third Owner,WB13B1877,Yes,Yes,Honda Accord 2015,7750
Tata,Punch,2018,2018,80411,205000,Manual,Petrol,1200,First Owner,PB09D9226,No,No,Tata Punch 2018,10250
Ford,Aspire,2019,2019,107921,320000,Automatic,Petrol,1500,First Owner,PB02A8756,No,No,Ford Aspire 2019,16000
Ford,Freestyle,2014,2014,172567,125000,Manual,Petrol,1600,Third Owner,KA06C4740,Yes,No,Ford Freestyle 2014,6250
Mahindra,XUV500,2018,2018,59605,365000,Automatic,Petrol,2200,Second Owner,PB01A9128,Yes,No,Mahindra XUV500 2018,18250
Maruti,Ertiga,2023,2023,12230,305000,Manual,Diesel,800,First Owner,TS13B5086,Yes,Yes,Maruti Ertiga 2023,15250
Renault,Captur,2010,2010,190887,55000,Manual,Diesel,800,Third Owner,DL02C1597,Yes,No,Renault Captur 2010,2750
Maruti,Vitara Brezza,2019,2019,47832,190000,Manual,Petrol,1000,Second Owner,KA16C7605,Yes,No,Maruti Vitara Brezza 2019,9500
Renault,Kwid,2014,2014,62945,90000,Manual,Petrol,1200,Second Owner,WB06D5311,No,Yes,Renault Kwid 2014,4500
Volkswagen,Polo,2014,2014,98061,175000,Manual,Petrol,1800,Second Owner,TS06B4264,No,Yes,Volkswagen Polo 2014,8750
Kia,Sonet,2016,2016,153330,300000,Automatic,Diesel,2200,Second Owner,RJ09D6406,Yes,Yes,Kia Sonet 2016,15000
Mahindra,Thar,2020,2020,79374,370000,Manual,Petrol,2200,Second Owner,TS15A7214,Yes,Yes,Mahindra Thar 2020,18500
Hyundai,Verna,2011,2011,101822,90000,Manual,Petrol,1400,Second Owner,DL19B4284,No,No,Hyundai Verna 2011,4500
Mahindra,XUV300,2011,2011,134875,130000,Manual,Petrol,2500,First Owner,GJ13D8959,Yes,No,Mahindra XUV300 2011,6500
Mahindra,Marazzo,2010,2010,208996,115000,Manual,Diesel,2200,Second Owner,HR11C7131,No,No,Mahindra Marazzo 2010,5750
Kia,Sonet,2019,2019,97867,425000,Manual,Petrol,2500,First Owner,RJ07C1307,Yes,Yes,Kia Sonet 2019,21250
Maruti,Swift,2013,2013,243468,65000,Manual,Petrol,800,Third Owner,WB10C4238,Yes,Yes,Maruti Swift 2013,3250
Ford,Freestyle,2010,2010,265815,80000,Manual,Electric,1600,Third Owner,TN18C2667,Yes,No,Ford Freestyle 2010,4000
Renault,Duster,2010,2010,226997,55000,Automatic,Petrol,1200,Third Owner,AP09D2646,No,Yes,Renault Duster 2010,2750
Mahindra,XUV500,2016,2016,151199,285000,Automatic,Petrol,2200,First Owner,DL19D5677,Yes,No,Mahindra XUV500 2016,14250
Kia,Sonet,2013,2013,163356,165000,Manual,Diesel,2000,Third Owner,TS12D1818,Yes,No,Kia Sonet 2013,8250
Hyundai,Grand i10,2019,2019,61314,220000,Manual,Petrol,1200,Second Owner,HR09B7523,No,Yes,Hyundai Grand i10 2019,11000
Kia,Sonet,2013,2013,61138,170000,Manual,Petrol,2500,Third Owner,PB17A3956,Yes,No,Kia Sonet 2013,8500
Maruti,Ertiga,2018,2018,28440,190000,Manual,Petrol,1200,First Owner,PB16A8297,Yes,Yes,Maruti Ertiga 2018,9500
Volkswagen,Tiguan,2018,2018,101779,405000,Automatic,Electric,2000,First Owner,MH02D1583,No,Yes,Volkswagen Tiguan 2018,20250
Renault,Duster,2023,2023,5760,280000,Manual,Petrol,1000,Second Owner,AP18A3889,No,Yes,Renault Duster 2023,14000
Kia,Carnival,2013,2013,23160,185000,Manual,CNG,2500,Third Owner,KA17B7620,Yes,Yes,Kia Carnival 2013,9250
Ford,Figo,2017,2017,93929,215000,Automatic,Petrol,1500,Second Owner,UP13C9872,Yes,No,Ford Figo 2017,10750
Renault,Triber,2018,2018,46235,195000,Automatic,Petrol,1000,Second Owner,UP10C2155,Yes,No,Renault Triber 2018,9750
Mahindra,XUV300,2022,2022,41405,580000,Manual,Electric,2200,Second Owner,MH17B4175,Yes,Yes,Mahindra XUV300 2022,29000
Honda,WR-V,2017,2017,57913,195000,Manual,Petrol,1500,Third Owner,UP12A7111,Yes,Yes,Honda WR-V 2017,9750
Tata,Safari,2020,2020,41770,305000,Automatic,Petrol,1400,First Owner,TN04C7524,Yes,No,Tata Safari 2020,15250
Kia,Sonet,2019,2019,63990,360000,Manual,Petrol,2200,First Owner,WB02B8737,Yes,Yes,Kia Sonet 2019,18000
Maruti,Swift,2017,2017,81551,180000,Automatic,Diesel,1200,Second Owner,PB08D6122,Yes,No,Maruti Swift 2017,9000
Toyota,Innova,2023,2023,27318,845000,Automatic,Electric,1800,First Owner,WB14B3877,Yes,Yes,Toyota Innova 2023,42250
Mahindra,Marazzo,2017,2017,85074,320000,Automatic,Diesel,1800,Third Owner,UP19B9853,Yes,No,Mahindra Marazzo 2017,16000
